url,title,cook,description,directions,images,ingredients,prep,servings,total,timestamp
https://www.allrecipes.com/recipe/32352/best-strawberry-daiquiri/,Best Strawberry Daiquiri,10 mins,"These are the perfect strawberry daiquiris for a hot summer day. Made with fresh or frozen strawberries, these are so good you&#39;ll never buy a mix again.","Step1: Place frozen strawberries in a blender; add sugar, lemon juice, and lime juice. Pour in rum and lemon-lime beverage, then add ice. Blend until smooth.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9307987.jpg,"4 ounces frozen strawberries, 0.5 cup white sugar, 0.5 cup lemon juice, 0.125 cup lime juice, 0.75 cup rum, 0.25 cup lemon-lime flavored carbonated beverage, 6 cups ice, or as needed",10 mins,8,10 mins,2023-07-08T09:16:58Z
https://www.allrecipes.com/recipe/8506845/oolong-orange-and-whiskey-punch/,"Oolong, Orange, and Whiskey Punch",1 hr,"Balanced with orange and a light touch of spice, this punch is whiskey-forward without being overpowering.","Step1: Bring water to a boil in a saucepan over high heat. Stir in sugar, cinnamon stick, and star anise. Remove from heat and add tea bags. Let steep for 3 minutes (or according to package directions for strongest tea). Remove tea bags. Let cool to room temperature, about 1 hour. Remove and discard cinnamon stick and star anise. Step2: Stir together tea mixture, orange juice, whiskey, and lemon juice in a punch bowl or pitcher. Chill until cold, about 2 hours or up to overnight. Step3: Garnish with tangerine slices and additional star anise. Ladle into ice-filled glasses. Top each with a tangerine slice.",https://www.allrecipes.com/thmb/Rh7htjAsOw7PFduWe-WKe7SLaJ4=/75x75/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/marianne-williams-1cbed0c8351f42b9adeb59831f86536b.jpg,"3 cups water, 3 tablespoons sugar, 1 (2 inch) cinnamon stick, 2 whole star anise, 6 oolong tea bags, 2.66 cups fresh orange juice, 1.5 cups whiskey, 3 tablespoons fresh lemon juice (from 1 lemon), large ice cubes, tangerine, sectioned and seeded",15 mins,8,3 hrs 15 mins,2023-07-08T09:17:07Z
https://www.allrecipes.com/recipe/222885/grasshopper-cocktail/,Grasshopper Cocktail,5 mins,"This retro grasshopper drink is like an after-dinner mint in a glass. Enjoy this delicious chocolatey cocktail classic with, or instead of, dessert.","Step1: Combine creme de menthe, creme de cacao, cream, and ice in a cocktail shaker. Cover and shake until chilled. Strain into a chilled cocktail glass.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7079663.jpg,"0.75 fluid ounce creme de menthe, 0.75 fluid ounce white creme de cacao, 0.25 fluid ounce heavy cream, 1 cup ice",5 mins,1,5 mins,2023-07-08T09:17:16Z
https://www.allrecipes.com/recipe/22255/oyster-shooters/,Oyster Shooters,10 mins,"An oyster shooter is a spicy cocktail made with a shucked oyster, tomato juice, horseradish, pepper, and vodka for a refreshing way to enjoy oysters!","Step1: Mix tomato juice, horseradish, and pepper in a large bowl until well combined. Step2: Pour 1/2 shot of tomato juice mixture into 12 small glasses. Add a shot of vodka to each glass. Place 1 raw oyster in each glass and garnish with a lemon wedge.",https://www.allrecipes.com/thmb/L8GvsRNCmGIdrTapViiavVfJ28U=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(1823x0:1825x2):format(webp)/4518517-2e3bf20c9b22485aa2e75269c63806ed.jpg,"9 fluid ounces tomato juice, 1 teaspoon prepared horseradish, 2 teaspoons freshly ground black pepper, 12 (1.5 fluid ounce) jiggers vodka, 12 shucked oysters, 1 lemon - cut into wedges, for garnish",10 mins,12,10 mins,2023-07-08T09:17:29Z
https://www.allrecipes.com/recipe/9501/hot-apple-cider/,Homemade Hot Apple Cider,10 mins,Nothing beats this apple cider recipe. Enjoy a hot mug of fresh apple cider sweetened with pure maple syrup for a perfect treat on a cold winter day.,"Step1: Pour apple cider and maple syrup into a large stainless steel saucepan. Step2: Place cinnamon sticks, cloves, allspice berries, orange peel, and lemon peel in the center of a square of washed cheesecloth; fold up the sides of the cheesecloth to enclose the bundle, then tie it up with a length of kitchen string. Drop the spice bundle into the cider mixture. Step3: Place the saucepan over moderate heat for 5 to 10 minutes, or until cider is very hot but not boiling. Step4: Remove cider from the heat. Discard the spice bundle. Step5: Ladle cider into big cups or mugs, adding a fresh cinnamon stick to each serving if desired.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F32f41c6c73c5fd7ef4559a13d8c4a995%2F1669967662012Hot_Apple_Cider_2022_12_01_c.jpg,"6 cups apple cider, 0.25 cup real maple syrup, 2 cinnamon sticks, 6 whole cloves, 6 whole allspice berries, 1 orange peel, cut into strips, 1 lemon peel, cut into strips",5 mins,6,15 mins,2023-07-08T09:17:56Z
https://www.allrecipes.com/recipe/221891/cosmopolitan-cocktail/,Cosmopolitan Cocktail,5 mins,"This is a classic cosmopolitan cocktail, or &#39;cosmo&#39;, made with vodka, orange liqueur, lime, and a splash of cranberry juice for that touch of pink.","Step1: Gather all ingredients. Step2: Combine vodka, lime juice, triple sec, and cranberry juice in a cocktail shaker. Step3: Add ice, cover and shake until chilled. Strain into a chilled cocktail glass. Step4: Garnish with a lime wedge.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8885382.jpg,"1.5 fluid ounces vodka, 0.25 fluid ounce lime juice, 0.25 fluid ounce triple sec, 0.25 fluid ounce cranberry juice, 1 cup ice, 1 lime wedge for garnish",5 mins,1,5 mins,2023-07-08T09:18:15Z
https://www.allrecipes.com/big-batch-pineapple-basil-vodka-sours-recipe-7506839,Big-Batch Pineapple-Basil Vodka Sours,1 day 1 hr,"Channel your inner mixologist with infused vodka and homemade sour mix, then shake them together for a sweet-tart sipper you can call your own.","Step1: For pineapple-basil vodka, put pineapple in a 1-quart jar. Top with vodka, cover, and let stand until vodka is infused with pineapple flavor, 1 to 3 days. Add basil, cover, and infuse for 1 to 2 hours; strain.   Meanwhile for the DIY sour mix, combine sugar and water in a saucepan and bring to a boil over high heat, stirring until sugar is dissolved. Remove from heat; let cool. Add lime juice and lemon juice. Chill in the refrigerator for at least 1 hour and up to 1 week. Step2: In a pitcher, stir together pineapple-basil vodka and DIY sour mix. Serve in rocks glasses over ice. Top with club soda (if using); garnish with pineapple wedges, fronds, and additional basil.",https://www.allrecipes.com/thmb/lyem3pyHSW4Y60RX2GAMBF3cSsY=/75x75/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/julana-hale-7f6f4a8602bd4eab958ab570d5b4df51.jpg,"Pineapple-Basil Vodka, 11/2 cups chopped fresh pineapple, 1 (750-ml) bottle vodka, 1/2 cup fresh basil leaves, plus more forgarnish, DIY Sour Mix, 1 cup sugar, 1 cup water, 1 cup freshly squeezed lime juice (about 8limes), 1 cup freshly squeezed lemon juice (about 6lemons), Additional, Ice, Club soda (optional), Fresh pineapple wedges and fronds, for garnish",5 mins,16,1 day 1 hr 5 mins,2023-07-08T09:18:39Z
https://www.allrecipes.com/copycat-wendy-s-chocolate-frosty-recipe-7506169,Copycat Wendy’s Chocolate Frosty,4 hrs,"Wendy’s Frosty fans, look no further. We tried a viral DIY version of the frozen favorite, and it’s well worth giving a spin—no ice cream machine needed.","Step1: Pour chocolate milk into ice cube trays and freeze until solid, at least 4 hours and up to 24.   Process frozen milk cubes, frozen whipped topping, whole milk, and sweetened condensed milk in a food processor until smooth. Serve immediately or freeze in an airtight container up to 1 week.",https://www.allrecipes.com/thmb/lyem3pyHSW4Y60RX2GAMBF3cSsY=/75x75/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/julana-hale-7f6f4a8602bd4eab958ab570d5b4df51.jpg,"2 cups chocolate milk, 1 cup frozen whipped topping (do not thaw), 1/4 cup whole milk, 1 tablespoon sweetened condensed milk",10 mins,2,4 hrs 10 mins,2023-07-08T09:18:47Z
https://www.allrecipes.com/recipe/73287/mai-tai/,Mai Tai,5 mins,"This Mai Tai cocktail blends two rums, coconut and spiced, with pineapple juice, orange juice, and grenadine to make a tropical, fruity party drink.","Step1: Fill a cocktail shaker with ice cubes. Step2: Add pineapple juice, orange juice, spiced rum, coconut rum, and grenadine. Shake vigorously and strain into a glass full of ice.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9164564.jpg,"1 cup ice cubes, 3 fluid ounces pineapple juice, 2 fluid ounces orange juice, 1 (1.5 fluid ounce) jigger spiced rum, 0.5 (1.5 fluid ounce) jigger coconut-flavored rum, 1 teaspoon grenadine syrup",5 mins,1,5 mins,2023-07-08T09:19:10Z
https://www.allrecipes.com/recipe/8509320/ginger-hibiscus-sparkler/,Ginger-Hibiscus Sparkler,5 mins,"Spicy ginger liqueur, nonalcoholic ginger beer, and sweet-tart hibiscus provide all the buzz you need.",Step1: Steep hibiscus flowers in boiling water for 5 minutes; strain into a heatproof bowl set in a bowl of ice to speed cooling. Cool completely. Step2: Transfer to a small pitcher. Stir in lime juice and ginger liqueur. Pour into ice-filled Collins glasses (about 5 oz. per glass) and top each with 1 oz. ginger beer. Garnish with mint sprigs and ginger slices.,https://www.allrecipes.com/thmb/lyem3pyHSW4Y60RX2GAMBF3cSsY=/75x75/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/julana-hale-7f6f4a8602bd4eab958ab570d5b4df51.jpg,"0.25 cup dried hibiscus petals, 1.5 cups boiling water, 0.5 cup fresh lime juice, 0.5 cup ginger liqueur (such as Domaine de Canton®), 0.5 cup ginger beer, 4 sprigs fresh mint for garnish, fresh ginger, peeled and thinly sliced",5 mins,4,10 mins,2023-07-08T09:19:18Z
